"Host","Opponent","Date","Tm","Opp","Tm_odd","Opp_odd","Year"
"ORL","ATL","Apr 26, 2011","101","76","1.28","3.86","2011"
"DEN","OKC","Apr 26, 2011","104","101","1.66","2.28","2011"
"DAL","POR","Apr 26, 2011","93","82","1.45","2.83","2011"
"MEM","SAS","Apr 26, 2011","104","86","1.98","1.84","2011"
"MIA","PHI","Apr 27, 2011","97","91","1.09","8.33","2011"
"LAL","NOP","Apr 27, 2011","106","90","1.14","5.90","2011"
"CHI","IND","Apr 27, 2011","116","89","1.17","5.37","2011"
"ATL","ORL","Apr 28, 2011","84","81","2.03","1.81","2011"
"OKC","DEN","Apr 28, 2011","100","97","1.31","3.60","2011"
"SAS","MEM","Apr 28, 2011","110","103","1.29","3.75","2011"
"POR","DAL","Apr 29, 2011","96","103","1.55","2.53","2011"
"NOP","LAL","Apr 29, 2011","80","98","3.05","1.40","2011"
"MEM","SAS","Apr 30, 2011","99","91","1.64","2.33","2011"
"MIA","DAL","Jun 01, 2011","92","84","1.47","2.75","2011"
"MIA","DAL","Jun 03, 2011","93","95","1.49","2.70","2011"
"DAL","MIA","Jun 06, 2011","86","88","1.74","2.11","2011"
"DAL","MIA","Jun 08, 2011","86","83","1.70","2.19","2011"
"DAL","MIA","Jun 10, 2011","112","103","1.89","1.93","2011"
"MIA","DAL","Jun 13, 2011","95","105","1.41","2.97","2011"
"MIA","BOS","May 01, 2011","99","90","1.45","2.83","2011"
"OKC","MEM","May 01, 2011","101","114","1.34","3.40","2011"
"MIA","BOS","May 03, 2011","102","91","1.45","2.83","2011"
"LAL","DAL","May 03, 2011","94","96","1.36","3.28","2011"
"CHI","ATL","May 03, 2011","95","103","1.17","5.32","2011"
"OKC","MEM","May 04, 2011","111","102","1.30","3.63","2011"
"LAL","DAL","May 05, 2011","81","93","1.26","4.02","2011"
"CHI","ATL","May 05, 2011","86","73","1.18","5.06","2011"
"ATL","CHI","May 06, 2011","82","99","2.16","1.73","2011"
"MEM","OKC","May 07, 2011","101","93","1.67","2.26","2011"
"DAL","LAL","May 07, 2011","98","92","1.77","2.09","2011"
"DAL","LAL","May 08, 2011","122","86","1.78","2.07","2011"
"BOS","MIA","May 08, 2011","97","81","1.62","2.38","2011"
"BOS","MIA","May 09, 2011","90","98","1.97","1.86","2011"
"ATL","CHI","May 09, 2011","100","88","2.43","1.59","2011"
"MEM","OKC","May 10, 2011","123","133","1.76","2.11","2011"
"MIA","BOS","May 11, 2011","97","87","1.27","3.92","2011"
"CHI","ATL","May 11, 2011","95","83","1.21","4.72","2011"
"OKC","MEM","May 12, 2011","99","72","1.36","3.24","2011"
"ATL","CHI","May 13, 2011","73","93","2.37","1.61","2011"
"MEM","OKC","May 14, 2011","95","83","1.82","2.00","2011"
"OKC","MEM","May 15, 2011","105","90","1.31","3.58","2011"
"CHI","MIA","May 16, 2011","103","82","1.75","2.12","2011"
"DAL","OKC","May 18, 2011","121","112","1.35","3.31","2011"
"CHI","MIA","May 19, 2011","75","85","1.70","2.20","2011"
"DAL","OKC","May 20, 2011","100","106","1.40","3.04","2011"
"OKC","DAL","May 22, 2011","87","93","1.69","2.22","2011"
"MIA","CHI","May 23, 2011","96","85","1.44","2.87","2011"
"OKC","DAL","May 24, 2011","105","112","1.56","2.51","2011"
"MIA","CHI","May 25, 2011","101","93","1.43","2.91","2011"
"DAL","OKC","May 26, 2011","100","96","1.32","3.49","2011"
"CHI","MIA","May 27, 2011","80","83","1.60","2.40","2011"
"PHO","MIN","Apr 12, 2011","135","127","1.20","4.80","2011"
"SAC","OKC","Apr 12, 2011","112","120","3.16","1.38","2011"
"DEN","GSW","Apr 12, 2011","134","111","1.08","8.72","2011"
"HOU","DAL","Apr 12, 2011","91","98","2.35","1.63","2011"
"MIL","TOR","Apr 12, 2011","93","86","1.18","5.22","2011"
"NOP","UTA","Apr 12, 2011","78","90","1.31","3.56","2011"
"LAL","SAS","Apr 13, 2011","102","93","1.13","6.74","2011"
"POR","MEM","Apr 13, 2011","102","89","1.38","3.18","2011"
"NYK","CHI","Apr 13, 2011","90","103","3.30","1.36","2011"
"GSW","POR","Apr 14, 2011","110","86","1.47","2.74","2011"
"LAC","MEM","Apr 14, 2011","110","103","1.29","3.69","2011"
"PHO","SAS","Apr 14, 2011","106","103","2.33","1.63","2011"
"SAC","LAL","Apr 14, 2011","108","116","2.47","1.57","2011"
"BOS","NYK","Apr 14, 2011","112","102","0","0","2011"
"CHO","ATL","Apr 14, 2011","96","85","1.80","2.03","2011"
"CHI","BRK","Apr 14, 2011","97","92","1.05","10.97","2011"
"CLE","WAS","Apr 14, 2011","100","93","1.46","2.80","2011"
"DAL","NOP","Apr 14, 2011","121","89","1.14","6.04","2011"
"MIN","HOU","Apr 14, 2011","102","121","0","0","2011"
"OKC","MIL","Apr 14, 2011","106","110","1.20","4.89","2011"
"ORL","IND","Apr 14, 2011","92","74","0","0","2011"
"PHI","DET","Apr 14, 2011","100","104","1.50","2.66","2011"
"TOR","MIA","Apr 14, 2011","79","97","1.55","2.53","2011"
"UTA","DEN","Apr 14, 2011","107","103","1.44","2.82","2011"
"ORL","ATL","Apr 16, 2011","93","103","1.21","4.66","2011"
"MIA","PHI","Apr 16, 2011","97","89","1.12","6.62","2011"
"CHI","IND","Apr 16, 2011","104","99","1.05","11.00","2011"
"BOS","NYK","Apr 17, 2011","87","85","1.35","3.33","2011"
"LAL","NOP","Apr 17, 2011","100","109","1.10","7.60","2011"
"SAS","MEM","Apr 17, 2011","98","101","1.32","3.48","2011"
"DAL","POR","Apr 17, 2011","89","81","1.46","2.78","2011"
"MIA","PHI","Apr 18, 2011","94","73","1.15","5.57","2011"
"OKC","DEN","Apr 18, 2011","107","103","1.37","3.22","2011"
"ORL","ATL","Apr 19, 2011","88","82","1.16","5.45","2011"
"BOS","NYK","Apr 19, 2011","96","93","1.32","3.48","2011"
"CHI","IND","Apr 19, 2011","96","90","1.08","8.55","2011"
"DAL","POR","Apr 20, 2011","101","89","1.52","2.61","2011"
"IND","CHI","Apr 21, 2011","84","88","2.55","1.54","2011"
"LAL","NOP","Apr 21, 2011","87","78","1.07","9.32","2011"
"SAS","MEM","Apr 21, 2011","93","87","1.25","4.11","2011"
"OKC","DEN","Apr 21, 2011","106","89","1.49","2.69","2011"
"NYK","BOS","Apr 22, 2011","96","113","1.63","2.33","2011"
"POR","DAL","Apr 22, 2011","97","92","1.41","2.99","2011"
"PHI","MIA","Apr 22, 2011","94","100","2.70","1.49","2011"
"MEM","SAS","Apr 23, 2011","91","88","1.81","2.03","2011"
"POR","DAL","Apr 23, 2011","84","82","1.53","2.57","2011"
"IND","CHI","Apr 23, 2011","89","84","2.72","1.46","2011"
"NOP","LAL","Apr 23, 2011","86","100","2.82","1.45","2011"
"ATL","ORL","Apr 23, 2011","88","84","2.00","1.83","2011"
"ATL","ORL","Apr 24, 2011","88","85","1.99","1.84","2011"
"NYK","BOS","Apr 24, 2011","89","101","2.44","1.59","2011"
"PHI","MIA","Apr 24, 2011","86","82","3.10","1.39","2011"
"DEN","OKC","Apr 24, 2011","94","97","1.44","2.86","2011"
"NOP","LAL","Apr 25, 2011","93","88","3.23","1.37","2011"
"DET","BRK","Apr 06, 2011","116","109","1.31","3.58","2011"
"CHO","ORL","Apr 06, 2011","102","111","3.32","1.35","2011"
"IND","WAS","Apr 06, 2011","136","112","1.11","7.03","2011"
"PHI","NYK","Apr 06, 2011","92","97","1.47","2.77","2011"
"TOR","CLE","Apr 06, 2011","96","104","1.49","2.69","2011"
"LAL","UTA","Apr 06, 2011","85","86","1.04","12.06","2011"
"POR","GSW","Apr 06, 2011","87","108","1.13","6.16","2011"
"DEN","OKC","Apr 06, 2011","94","101","1.52","2.60","2011"
"HOU","SAC","Apr 06, 2011","101","104","1.21","4.65","2011"
"CHI","PHO","Apr 06, 2011","97","94","0","0","2011"
"MEM","LAC","Apr 06, 2011","81","82","1.20","4.92","2011"
"BOS","PHI","Apr 06, 2011","99","82","1.37","3.20","2011"
"NYK","TOR","Apr 06, 2011","131","118","1.19","5.05","2011"
"ATL","SAS","Apr 06, 2011","90","97","2.85","1.44","2011"
"BRK","MIN","Apr 06, 2011","107","105","1.44","2.89","2011"
"CLE","CHO","Apr 06, 2011","99","89","1.92","1.89","2011"
"ORL","MIL","Apr 06, 2011","78","72","1.25","4.12","2011"
"WAS","DET","Apr 06, 2011","107","105","1.93","1.89","2011"
"GSW","LAL","Apr 07, 2011","95","87","3.12","1.39","2011"
"DAL","DEN","Apr 07, 2011","96","104","1.54","2.55","2011"
"SAS","SAC","Apr 07, 2011","124","92","1.12","6.49","2011"
"MIA","MIL","Apr 07, 2011","85","90","1.18","5.16","2011"
"MIN","PHO","Apr 07, 2011","98","108","2.67","1.50","2011"
"NOP","HOU","Apr 07, 2011","101","93","1.68","2.25","2011"
"OKC","LAC","Apr 07, 2011","112","108","0","0","2011"
"BOS","WAS","Apr 08, 2011","104","88","1.05","10.97","2011"
"CLE","CHI","Apr 08, 2011","82","93","5.21","1.18","2011"
"DET","MIL","Apr 08, 2011","110","100","1.95","1.87","2011"
"MIA","CHO","Apr 08, 2011","112","103","1.05","12.07","2011"
"BRK","NYK","Apr 08, 2011","93","116","2.62","1.51","2011"
"IND","ATL","Apr 08, 2011","114","102","1.41","3.01","2011"
"PHI","TOR","Apr 08, 2011","98","93","1.11","6.88","2011"
"UTA","POR","Apr 08, 2011","87","98","2.84","1.45","2011"
"CHI","BOS","Apr 08, 2011","97","81","0","0","2011"
"WAS","ATL","Apr 09, 2011","115","83","0","0","2011"
"POR","LAL","Apr 09, 2011","93","86","0","0","2011"
"DAL","LAC","Apr 09, 2011","107","96","1.23","4.42","2011"
"MEM","SAC","Apr 09, 2011","101","96","1.18","5.17","2011"
"NOP","PHO","Apr 09, 2011","109","97","1.41","3.03","2011"
"OKC","DEN","Apr 09, 2011","104","89","1.52","2.61","2011"
"DAL","PHO","Apr 10, 2011","115","90","1.17","5.27","2011"
"IND","NYK","Apr 10, 2011","109","110","1.71","2.20","2011"
"CHO","DET","Apr 10, 2011","101","112","1.92","1.91","2011"
"MEM","NOP","Apr 10, 2011","111","89","1.53","2.58","2011"
"TOR","BRK","Apr 10, 2011","99","92","1.38","3.13","2011"
"MIA","BOS","Apr 10, 2011","100","77","1.36","3.24","2011"
"ORL","CHI","Apr 10, 2011","99","102","3.17","1.37","2011"
